Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC0021;G;00:29:10.43;-00:09:49.6;Cet;0.49;0.45;6;15.54;;13.05;12.42;12.11;22.96;SBb;;;;17671;0.060790;;;;;;;;2MASX J00291043-0009490,MCG +00-02-053,PGC 001785,SDSS J002910.42-000949.5,SDSS J002910.42-000949.6;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0022;G;00:29:33.17;-09:04:50.7;Cet;0.81;0.44;45;14.73;;11.63;10.98;10.73;23.07;S0;;;;6043;0.020365;;;;;;;;2MASX J00293318-0904510,MCG -02-02-027,PGC 001815,SDSS J002933.17-090450.6,SDSS J002933.17-090450.7;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0023;G;00:30:50.80;-12:43:12.9;Cet;0.85;0.77;20;15.05;;11.75;11.23;10.95;23.52;E;;;;6072;0.020464;;;;;;;;2MASX J00305083-1243120,MCG -02-02-032,PGC 001872;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0024;**;00:31:16.63;+30:50:21.5;And;;;;;;;;;;;;;;;;;;;;;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0025;G;00:31:12.09;-00:24:26.5;Cet;0.86;0.44;34;15.29;;12.15;11.43;11.17;23.68;S0-a;;;;5771;0.019440;;;;;;;;2MASX J00311206-0024262,IRAS 00286-0040,MCG +00-02-064,PGC 001905,SDSS J003112.09-002426.4,SDSS J003112.09-002426.5;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0026;Dup;00:31:45.94;-13:20:14.9;Cet;;;;;;;;;;;;;;;;;;;;0135;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0027;G;00:33:06.24;-13:22:17.4;Cet;0.58;0.34;148;15.82;;13.49;12.84;12.39;23.37;;;;;6950;0.023460;;;;;;;;2MASX J00330625-1322173,LEDA 143572;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|RadVel:2|Redshift:2
IC0028;G;00:33:08.72;-13:27:22.6;Cet;0.30;0.22;85;15.56;;13.14;12.53;12.27;;E;;;;6379;0.021509;;;;;;;;2MASX J00330879-1327223,IRAS 00306-1343,LEDA 169992;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|Hubble:3|RadVel:2|Redshift:2
IC0029;G;00:34:10.80;-02:10:39.5;Cet;0.66;0.49;160;15.79;;11.76;11.09;10.69;23.75;E;;;;17379;0.059752;;;;;;;;2MASX J00341079-0210394,MCG +00-02-072,PGC 002042;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0030;G;00:34:14.72;-02:05:04.5;Cet;0.69;0.39;23;15.17;;12.08;11.28;11.00;23.71;S0-a;;;;22834;0.079300;;;;;;;;2MASX J00341472-0205044,MCG +00-02-074,PGC 002050;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
