Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC0072;*;01:01:34.71;-06:46:40.6;Cet;;;;;;;;;;;;;;;;;;;;;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0073;G;01:04:52.95;+04:46:01.7;Psc;0.62;0.48;149;15.38;;13.30;12.43;12.50;23.23;;;;;6220;0.020968;;;;;;;;2MASX J01045304+0446027,PGC 003842;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|RadVel:2|Redshift:2
IC0074;G;01:05:55.95;+04:05:24.9;Psc;0.57;0.46;5;15.59;;12.32;11.73;11.50;23.10;E-S0;;;;4970;0.016718;;;;;;;;2MASX J01055595+0405246,PGC 003897;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0075;G;01:07:11.61;+10:50:12.8;Psc;0.66;0.51;31;14.98;;12.38;11.67;11.24;22.80;Sb;;;;12027;0.040955;;;;;;;;2MASX J01071159+1050125,MCG +02-03-035,PGC 003959,UGC 00684;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0076;G;01:08:11.71;-04:33:16.2;Cet;0.81;0.36;116;15.44;;11.98;11.21;10.87;23.52;S0-a;;;;7724;0.026100;;;;;;;;2MASX J01081173-0433164,MCG -01-04-001,PGC 004035;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0077;G;01:08:43.75;-15:25:15.3;Cet;0.52;0.44;90;16.23;15.04;12.60;11.91;11.75;23.56;S0;;;;17615;0.060590;;;;;;;;2MASX J01084373-1525148,LEDA 073653;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0078;G;01:08:47.70;-15:50:42.3;Cet;1.75;0.75;126;15.24;;11.08;10.40;10.08;24.55;Sa;;;;11766;0.040048;;;;;;;;2MASX J01084768-1550427,MCG -03-04-010,PGC 004079;;The position in 1999ApJS..120..147M is 9 arcsec north of the nucleus.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0079;G;01:08:49.71;-15:56:54.9;Cet;1.24;0.91;158;14.93;;11.25;10.54;10.29;24.12;E-S0;;;;12350;0.042079;;;;;;;;2MASX J01084970-1556547,MCG -03-04-011,PGC 004082;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0080;GPair;01:08:50.90;-15:24:27.0;Cet;1.20;;;;;;;;;;;;;;;;;;;;;;;;Consists of the galaxies MCG -03-04-008 and -009.;;Type:1|RA:1|Dec:1|Const:99|MajAx:99
IC0080 NED01;G;01:08:50.70;-15:24:32.2;Cet;1.50;1.03;83;14.83;;;;;24.48;E;;;;;;;;;;;;;MCG -03-04-009,PGC 004072;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|SurfBr:3|Hubble:3
IC0080 NED02;G;01:08:51.13;-15:24:22.7;Cet;1.50;1.06;50;13.93;12.90;11.16;10.42;10.27;23.66;E;;;;15936;0.054648;;;;;;;;2MASX J01085113-1524227,MCG -03-04-008,PGC 004071;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0081;G;01:09:22.26;-01:41:45.1;Cet;1.17;0.91;145;14.53;;11.40;10.71;10.44;23.57;E?;;;;3960;0.013299;;;;;;;;2MASX J01092224-0141453,MCG +00-04-015,PGC 004127;;The APM image includes a neighboring star.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0082;G;01:09:05.79;-16:00:01.1;Cet;0.91;0.83;93;14.85;;11.75;11.09;10.70;23.32;S0;;;;11999;0.040858;;;;;;;;2MASX J01090578-1600011,MCG -03-04-013,PGC 004103;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0083;G;01:10:29.78;+01:41:21.7;Cet;0.68;0.45;114;15.16;;12.30;11.57;11.30;23.20;;;;;13056;0.044541;;;;;;;;2MASX J01102978+0141218,MCG +00-04-021,PGC 004182;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|RadVel:2|Redshift:2
IC0084;G;01:11:25.60;+01:38:24.7;Cet;0.67;0.43;12;15.21;;11.89;11.13;11.07;23.13;S0-a;;;;4956;0.016672;;;;;;;;2MASX J01112564+0138250,MCG +00-04-029,PGC 004265;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0085;*;01:11:49.55;-00:27:08.9;Cet;;;;;;;;;;;;;;;;;;;;;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0086;G;01:13:28.52;-16:14:30.0;Cet;0.72;0.34;142;15.31;;12.33;11.55;11.26;23.29;S0-a;;;;13181;0.044978;;;;;;;;2MASX J01132852-1614301,IRAS 01110-1630,LEDA 165316;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0087;G;01:14:15.79;+00:45:55.2;Cet;0.69;0.63;66;15.37;;12.79;12.26;11.76;23.21;Sbc;;;;12471;0.042500;;;;;;;;2MASX J01141582+0045556,MCG +00-04-048,PGC 004454,SDSS J011415.78+004555.1,SDSS J011415.79+004555.1,SDSS J011415.79+004555.2,SDSS J011415.80+004555.2;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0088;G;01:14:31.30;+00:47:30.3;Cet;0.53;0.44;129;15.95;18.07;13.16;12.62;12.09;23.15;Sbc;;;;18975;0.065430;;;;;;;;2MASX J01143129+0047306,LEDA 1175571,SDSS J011431.30+004730.2,SDSS J011431.30+004730.3,SDSS J011431.32+004730.2;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0089;Dup;01:16:03.61;+04:17:38.8;Psc;;;;;;;;;;;;;;;;;;;;0446;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0090;G;01:16:30.35;-07:58:37.7;Cet;1.25;1.12;146;14.85;;11.02;10.36;10.12;24.14;E;;;;5528;0.018613;;;;;;;;2MASX J01163034-0758369,MCG -01-04-023,PGC 004606;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0091;G;01:18:39.43;+02:33:13.2;Cet;0.71;0.26;64;16.48;;12.91;12.16;11.82;24.30;;;;;6970;0.023530;;;;;;;;2MASX J01183943+0233132,LEDA 1230543;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|RadVel:2|Redshift:2
IC0092;Dup;01:19:48.50;+32:46:04.0;Psc;;;;;;;;;;;;;;;;;;;;0468;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0093;G;01:19:02.34;-17:03:37.4;Cet;1.21;0.56;171;14.03;13.57;11.79;11.08;10.85;22.91;Sb;;;;5944;0.020027;;;;;;1671;;2MASX J01190234-1703374,IRAS 01165-1719,MCG -03-04-043,PGC 004724;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0094;*;01:20:05.49;+32:43:02.4;Psc;;;;;;;;;;;;;;;;;;;;;;;;;;;Type:1|RA:1|Dec:1|Const:99
IC0095;G;01:19:17.88;-12:34:26.9;Cet;0.61;0.50;54;16.20;;12.64;11.76;11.54;23.72;;;;;13016;0.044400;;;;;;;;2MASX J01191787-1234264,LEDA 950887;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|RadVel:2|Redshift:2
IC0096;G;01:20:33.22;+29:37:02.1;Psc;0.78;0.30;44;14.65;;12.93;12.56;12.01;22.48;Sbc;;;;4372;0.014690;;;;;;;;MCG +05-04-023,PGC 004840;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0097;Dup;01:20:02.00;+14:51:39.8;Psc;;;;;;;;;;;;;;;;;;;;0475;;;;;;;Type:1|RA:1|Dec:1|Const:99
